,X,Y,FID,INDEX_NO,REGION_NO,PORT_NAME,COUNTRY,LATITUDE,LONGITUDE,LAT_DEG,LAT_MIN,LAT_HEMI,LONG_DEG,LONG_MIN,LONG_HEMI,PUB,CHART,HARBORSIZE,HARBORTYPE,SHELTER,ENTRY_TIDE,ENTRYSWELL,ENTRY_ICE,ENTRYOTHER,OVERHD_LIM,CHAN_DEPTH,ANCH_DEPTH,CARGODEPTH,OIL_DEPTH,TIDE_RANGE,MAX_VESSEL,HOLDGROUND,TURN_BASIN,PORTOFENTR,US_REP,ETAMESSAGE,PILOT_REQD,PILOTAVAIL,LOC_ASSIST,PILOTADVSD,TUGSALVAGE,TUG_ASSIST,PRATIQUE,SSCC_CERT,QUAR_OTHER,COMM_PHONE,COMM_FAX,COMM_RADIO,COMM_VHF,COMM_AIR,COMM_RAIL,CARGOWHARF,CARGO_ANCH,CARGMDMOOR,CARBCHMOOR,CARICEMOOR,MED_FACIL,GARBAGE,DEGAUSS,DRTYBALLST,CRANEFIXED,CRANEMOBIL,CRANEFLOAT,LIFT_100_,LIFT50_100,LIFT_25_49,LIFT_0_24,LONGSHORE,ELECTRICAL,SERV_STEAM,NAV_EQUIP,ELECREPAIR,PROVISIONS,WATER,FUEL_OIL,DIESEL,DECKSUPPLY,ENG_SUPPLY,REPAIRCODE,DRYDOCK,RAILWAY
48,-3.19999999999993,58.833333333,49,32490,32390,LYNESS,GB,58.833333,-3.2,58.0,50.0,N,3.0,12.0,W,141,35057,M,CN,F,Y,N,N,Y,Y,H,J,L,C,3.0, , , , , ,Y,Y,Y,0.0, , ,Y, ,0.0,Y,Y, ,Y, , , ,Y, ,0.0,0.0,0.0,Y,Y,0.0,Y, , , ,0.0, ,0.0,0.0, , ,0.0,0.0,0.0, ,Y,Y,Y, , ,C, , 
761,-0.083333333999974,51.5000000000001,762,31470,31330,LONDON,GB,51.5,-0.083333,51.0,30.0,N,0.0,5.0,W,192,37036,L,RB,E,Y,N,N,Y,Y,L,G,O,K,6.0,L,Y,Y,Y,Y,Y,Y,Y,0.0,Y,N,Y, ,0.0,Y,Y,Y,Y, ,Y,Y,Y,Y,0.0,0.0,0.0,Y,Y,0.0,Y,Y,Y,Y,0.0,Y,0.0,0.0,Y, ,0.0,0.0,0.0,Y,Y,Y,Y,Y, ,A,M,M
763,1.28333333300003,51.95,764,31530,31330,HARWICH,GB,51.95,1.283333,51.0,57.0,N,1.0,17.0,E,192, ,S,RN,F,Y,N,N,Y, ,H,J,K,L,3.0,L, , ,Y,N,Y,Y,Y,0.0,Y, ,Y, ,0.0, , , ,Y, ,Y,Y,Y, ,0.0,0.0,0.0,Y, ,0.0,Y,Y,Y, ,0.0, ,0.0,0.0, ,Y,0.0,0.0,0.0, ,Y,Y,Y,Y,Y,C, ,M
874,-0.066666666999936,53.583333333,875,31640,31330,GRIMSBY,GB,53.583333,-0.066667,53.0,35.0,N,0.0,4.0,W,192,37066,M,RT,E,Y,N,N,Y,Y,M,O,N, ,6.0,M, , ,Y,Y,Y,Y,Y,0.0,Y,N,Y, ,0.0,Y,Y,Y,Y, ,Y,Y,Y, ,0.0,0.0,0.0,Y, ,0.0,Y,Y,Y, ,0.0,Y,0.0,0.0,Y, ,0.0,0.0,0.0,Y,Y,Y,Y,Y,Y,C,M,S
875,-0.2,53.6333333330001,876,31650,31330,IMMINGHAM,GB,53.633333,-0.2,53.0,38.0,N,0.0,12.0,W,192,37066,M,RT,E,Y,N,N,Y,Y,L,N,H,K,5.0,L, , ,Y,N,Y,Y,Y,0.0,Y,N,Y, ,0.0, , , ,Y, ,Y,Y, ,Y,0.0,0.0,0.0,Y, ,0.0,Y,Y,Y, ,0.0,Y,0.0,0.0,Y,Y,0.0,0.0,0.0,Y,Y,Y,Y,Y,Y,A,M,M
876,-0.283333332999973,53.7500000000001,877,31660,31330,KINGSTON UPON HULL,GB,53.75,-0.283333,53.0,45.0,N,0.0,17.0,W,192,37062,M,RT,E,Y,N,N,Y,Y,N,N,K,K,6.0,L, , ,Y,N,Y,Y,Y,0.0,Y,N,Y, ,0.0,Y,Y, ,Y, ,Y,Y,Y, ,0.0,0.0,0.0,Y, ,0.0,Y,Y,Y,Y,0.0, ,0.0,0.0, , ,0.0,0.0,0.0,Y,Y,Y,Y,Y,Y,A,M, 
881,4.48333333300008,51.9,882,31140,30980,ROTTERDAM,NL,51.9,4.483333,51.0,54.0,N,4.0,29.0,E,192,37243/1,L,RB,F,N,N,N,Y,Y,J,J,M,H,1.0,L,Y,Y,Y, ,Y,Y,Y,0.0,Y, ,Y,Y,0.0,Y,Y,Y,Y,Y,Y,Y,Y,N,0.0,0.0,0.0,Y,Y,0.0,Y,Y,Y,Y,0.0,Y,0.0,0.0,Y,Y,0.0,0.0,0.0,Y,Y,Y,Y,Y,Y,A,M,S
889,9.93333333300006,53.5500000000001,890,30780,30650,HAMBURG,DE,53.55,9.933333,53.0,33.0,N,9.0,56.0,E,192,37230,L,LC,E,Y,N,Y,Y,Y,K, ,M,O,3.0,M,Y,Y,Y,Y,Y,Y,Y,0.0,Y, ,Y, ,0.0,Y,Y,Y,Y, ,Y,Y,Y, ,0.0,0.0,0.0,Y,Y,0.0,Y,Y,Y,Y,0.0,Y,0.0,0.0,Y,Y,0.0,0.0,0.0,Y,Y,Y,Y,Y,Y,A,M,L
890,8.71666666700003,53.8666666660001,891,30800,30650,CUXHAVEN,DE,53.866667,8.716667,53.0,52.0,N,8.0,43.0,E,192,37226,M,RB,G,N,N,N,Y, ,G,O,M, ,3.0,M, , ,Y,N,Y,Y,Y,0.0,Y, ,Y, ,0.0,Y,Y,Y,Y, , ,Y,Y,Y,0.0,0.0,0.0,Y,Y,0.0,Y,Y, , ,0.0,Y,0.0,0.0,Y, ,0.0,0.0,0.0,Y,Y,Y,Y,Y,Y,B, ,L
891,8.58333333300004,53.533333333,892,30810,30650,BREMERHAVEN,DE,53.533333,8.583333,53.0,32.0,N,8.0,35.0,E,192,37234,L,RT,E,Y,N,N,Y,Y,J,L,N, ,4.0,M, ,Y,Y,N,Y,Y,Y,0.0,Y,N,Y, ,0.0,Y,Y,Y,Y, ,Y,Y,Y, ,0.0,0.0,0.0,Y,Y,0.0,Y,Y,Y,Y,0.0,Y,0.0,0.0,Y,Y,0.0,0.0,0.0,Y,Y,Y,Y,Y,Y,A,S,L
893,8.48333333300008,53.333333334,894,30850,30650,BRAKE,DE,53.333333,8.483333,53.0,20.0,N,8.0,29.0,E,192,37235,M,RT,G,Y,N,N,Y, ,L,L,J, ,4.0,M, , ,Y,N,Y,Y, ,0.0,Y, ,Y,Y,0.0, , , ,Y,Y,Y,Y,Y, ,0.0,0.0,0.0,Y,Y,0.0,Y,Y,Y, ,0.0, ,0.0,0.0,Y, ,0.0,0.0,0.0,Y,Y,Y,Y, , ,C,S, 
896,8.76666666700004,53.1333333330001,897,30900,30650,BREMEN,DE,53.133333,8.766667,53.0,8.0,N,8.0,46.0,E,192,37236,L,RT,F,Y,N,N, , ,L,L,N,L,4.0,M, ,Y,Y,N,Y,Y,Y,0.0,Y,Y,Y, ,0.0,Y,Y,Y,Y, ,Y,Y,Y,Y,0.0,0.0,0.0,Y,Y,0.0,Y,Y,Y,Y,0.0,Y,0.0,0.0,Y,Y,0.0,0.0,0.0,Y,Y,Y,Y,Y,Y,A,S, 
898,7.18333333300006,53.333333334,899,30950,30650,EMDEN,DE,53.333333,7.183333,53.0,20.0,N,7.0,11.0,E,192,37224,M,RT,G,Y,N,N,Y,Y,L,J,M,K,3.0,M, ,Y,Y,N,Y,Y,Y,0.0,Y, ,Y,Y,0.0, ,Y,Y,Y,Y, ,Y,Y, ,0.0,0.0,0.0,Y,Y,0.0,Y, ,Y, ,0.0,Y,0.0,0.0,Y,Y,0.0,0.0,0.0, , ,Y,Y,Y,Y,A,L,M
1144,2.38333333400004,51.0500000000001,1145,35730,35720,DUNKERQUE PORT,FR,51.05,2.383333,51.0,3.0,N,2.0,23.0,E,191, ,M,RT,E,Y,N,N,Y,Y,G,C,G,H,6.0,L,Y,Y,Y,N,Y,Y,Y,0.0,Y, ,Y,Y,0.0, ,Y,Y,Y, ,Y,Y,Y, ,0.0,0.0,0.0,Y,Y,0.0,Y,Y,Y,Y,0.0,Y,0.0,0.0,Y, ,0.0,0.0,0.0, ,Y,Y,Y,Y,Y,A,L,
1320,4.90000000000003,52.3666666670001,1321,31060,30980,AMSTERDAM,NL,52.366667,4.9,52.0,22.0,N,4.0,54.0,E,192,37163,L,LC,E,N,N,N,Y,Y,H,G,K,L,2.0,M, ,Y,Y,Y,Y,Y, ,0.0,Y, ,Y, ,0.0,Y, ,Y,Y,Y,Y,Y,Y, ,0.0,0.0,0.0,Y,Y,0.0,Y,Y,Y,Y,0.0,Y,0.0,0.0,Y,Y,0.0,0.0,0.0,Y,Y,Y,Y,Y,Y,A,M,S
1431,8.21666666700003,56.7,1432,30460,30020,THYBORON,DK,56.7,8.216667,56.0,42.0,N,8.0,13.0,E,192,37200,V,CB,G,N,N, ,Y,Y,N,N,N, ,1.0,M, , , , ,Y,Y,Y,0.0,Y, , , ,0.0, ,Y,Y,Y, , ,Y,Y, ,0.0,0.0,0.0, , ,0.0,N,Y, , ,0.0, ,0.0,0.0, , ,0.0,0.0,0.0,Y,Y,Y, , , ,C,S, 
1464,10.5500000000001,57.4333333330001,1465,30430,30020,FREDERIKSHAVN,DK,57.433333,10.55,57.0,26.0,N,10.0,33.0,E,193,44040,S,CB,G,N,N,N,Y, ,L,J,M,L,1.0,M,Y, ,Y, ,Y, ,Y,0.0,Y, ,Y, ,0.0,Y,Y, ,Y,Y, ,Y,Y, ,0.0,0.0,0.0,Y,Y,0.0,Y, ,Y, ,0.0,Y,0.0,0.0,Y,Y,0.0,0.0,0.0,Y,Y,Y, ,Y, ,A,M,M
1465,10.6,57.716666667,1466,30440,30020,SKAGEN HAVN,DK,57.716667,10.6,57.0,43.0,N,10.0,36.0,E,193,44036,S,CB,G,N,N,N,Y,Y,L,G,N,N,1.0,M, , ,N,N,Y, ,Y,0.0, , ,Y, ,0.0,Y, , ,Y, ,Y,Y,Y, ,0.0,0.0,0.0,Y, ,0.0,Y, ,Y, ,0.0, ,0.0,0.0, , ,0.0,0.0,0.0,Y,Y,Y, , ,Y,C, ,S
1923,9.96666666700003,57.6000000000001,1924,30450,30020,HIRTSHALS,DK,57.6,9.966667,57.0,36.0,N,9.0,58.0,E,193,44040,V,CB,F,N,N,N,Y,Y,L, ,M,M,1.0,M, , ,N,N,Y,N,Y,0.0,Y, ,Y, ,0.0,Y,Y,Y,Y,Y, ,Y,Y, ,0.0,0.0,0.0, ,Y,0.0,Y,Y,Y, ,0.0, ,0.0,0.0,Y, ,0.0,0.0,0.0,Y,Y,Y, ,Y,Y,B,M,S
2119,-1.36666666699995,54.9166666670001,2120,31760,31330,SUNDERLAND,GB,54.916667,-1.366667,54.0,55.0,N,1.0,22.0,W,192, ,M,RT,G,Y,Y,N,Y,Y,M,H,M,L,4.0,L, ,Y,Y,N,Y,Y,Y,0.0,Y, ,Y, ,0.0,Y,Y, ,Y, ,Y,Y,Y, ,0.0,0.0,0.0,Y,Y,0.0,Y,Y,Y, ,0.0, ,0.0,0.0, ,Y,0.0,0.0,0.0,Y,Y,Y,Y,Y,Y,A,S,M
2120,-1.39999999999998,55.0000000000001,2121,31765,31330,TYNEMOUTH,GB,55.0,-1.4,55.0,0.0,N,1.0,24.0,W,192, ,M,RT,E,N,N,N,Y,Y,L,H,M,N,3.0,L, , ,Y,N,Y,Y,Y,0.0, , ,Y, ,0.0,Y,Y, ,Y, ,Y,Y,Y, ,0.0,0.0,0.0,Y,Y,0.0,N,Y,Y,Y,0.0, ,0.0,0.0,Y,Y,0.0,0.0,0.0,Y,Y,Y,Y,Y,Y,A,L,S
2121,-1.49999999999994,55.1166666670001,2122,31820,31330,BLYTH,GB,55.116667,-1.5,55.0,7.0,N,1.0,30.0,W,192, ,M,RN,G,Y,N,N,Y, ,L,E,M, ,3.0,M, , ,Y,N,Y,N,Y,0.0,Y, ,Y, ,0.0,Y,Y, ,Y,Y,Y,Y,Y, ,0.0,0.0,0.0,Y,Y,0.0,Y,Y,Y, ,0.0,Y,0.0,0.0,Y, ,0.0,0.0,0.0,Y,Y,Y,Y,Y,Y,B, , 
2235,-3.18333333399994,55.9833333340001,2236,31930,31870,LEITH,GB,55.983333,-3.183333,55.0,59.0,N,3.0,11.0,W,192,35037,M,RT,G,Y,N,N,Y,Y,M,L,M,L,2.0,M,Y,Y,Y,Y,Y, ,Y,0.0,Y, ,Y,Y,0.0,Y, , ,Y, ,Y,Y, , ,0.0,0.0,0.0,Y,Y,0.0, ,Y,Y, ,0.0,Y,0.0,0.0,Y,Y,0.0,0.0,0.0, ,Y,Y,Y,Y,Y,A,M,S
2243,-2.94999999999993,56.466666667,2244,32170,31870,DUNDEE,GB,56.466667,-2.95,56.0,28.0,N,2.0,57.0,W,141, ,L,RB,E,Y,N,N,Y,Y,M,L,K,L,5.0,L, , ,Y,N,Y,Y,Y,0.0,Y,Y,Y,Y,0.0, ,Y,Y,Y,Y,Y,Y,Y, ,0.0,0.0,0.0,Y,Y,0.0,Y,Y,Y, ,0.0, ,0.0,0.0,Y,Y,0.0,0.0,0.0,Y,Y,Y,Y,Y,Y,B, , 
2246,-2.08333333299993,57.15,2247,32220,31870,ABERDEEN,GB,57.15,-2.083333,57.0,9.0,N,2.0,5.0,W,141,35013,M,RB,G,Y,N,N, ,Y,N,K,K,M,4.0,L,Y, ,Y,N,Y,Y,Y,0.0,Y, ,Y,Y,0.0, ,Y,Y, ,Y,Y,Y,Y, ,0.0,0.0,0.0,Y,Y,0.0,Y,Y,Y, ,0.0,Y,0.0,0.0,Y,Y,0.0,0.0,0.0,Y,Y,Y,Y,Y,Y,C,S, 
2247,-1.78333333299997,57.5000000000001,2248,32230,31870,PETERHEAD,GB,57.5,-1.783333,57.0,30.0,N,1.0,47.0,W,141,35013,M,CB,G,Y,Y,N,Y, ,K,H,K,K,3.0,L,Y,Y,Y,N,Y,Y,Y,0.0, ,N,Y, ,0.0, ,Y,Y, ,Y,Y,Y,Y, ,0.0,0.0,0.0,Y,Y,0.0,Y, ,Y, ,0.0,Y,0.0,0.0,Y, ,0.0,0.0,0.0,Y,Y,Y,Y,Y,Y,B,S, 
2249,-1.13333333299994,54.65,2250,31720,31330,TEESPORT,GB,54.65,-1.133333,54.0,39.0,N,1.0,8.0,W,192, ,L,RT,G,Y,N,N,Y,Y,G,H,M,M,3.0,M, ,Y,Y,N,Y,Y,Y,0.0,Y, ,Y, ,0.0,Y,Y,Y,Y,Y,Y,Y,Y, ,0.0,0.0,0.0,Y,Y,0.0,Y,Y,Y,Y,0.0,Y,0.0,0.0,Y,Y,0.0,0.0,0.0,Y,Y,Y,Y,Y,Y,A,M,M
2254,4.40000000000003,51.216666666,2255,31250,31240,ANTWERPEN,BE,51.216667,4.4,51.0,13.0,N,4.0,24.0,E,192,37246,L,RT,G,N,N,Y,Y,Y,J,C,J,M,4.0,M, ,Y,Y,Y,Y,Y,Y,0.0, ,N,Y,Y,0.0, ,Y,Y,Y,Y,Y,Y,Y, ,0.0,0.0,0.0,Y,Y,0.0,Y,Y,Y,Y,0.0,Y,0.0,0.0,Y,Y,0.0,0.0,0.0,Y,Y,Y,Y,Y,Y,A,L, 
2256,3.73333333400006,51.066666667,2257,31270,31240,GHENT,BE,51.066667,3.733333,51.0,4.0,N,3.0,44.0,E,192,37246,M,LC,F,N,N,N,Y,Y,J,G,J,N,0.0,L,Y,Y,Y,N,Y,Y,Y,0.0,Y, ,Y, ,0.0,Y,Y,Y,Y,Y,Y,Y,Y, ,0.0,0.0,0.0,Y,Y,0.0,Y,Y,Y, ,0.0, ,0.0,0.0, , ,0.0,0.0,0.0,Y,Y,Y,Y,Y,Y,B,M,M
2257,3.20000000000005,51.333333333,2258,31280,31240,ZEEBRUGGE,BE,51.333333,3.2,51.0,20.0,N,3.0,12.0,E,192,37248,M,CB,G,Y,N,N,Y,N,K,L,G,H,4.0,L, ,Y,Y,N,Y,Y,Y,0.0,Y, ,Y,Y,0.0,Y,Y,Y,Y, ,Y,Y,Y, ,0.0,0.0,0.0,Y,Y,0.0,Y, ,Y, ,0.0, ,0.0,0.0,Y,Y,0.0,0.0,0.0, ,Y,Y,Y,Y,Y,C,M,L
2456,5.26666666600005,59.4166666670001,2457,23440,20620,HAUGESUND,NO,59.416667,5.266667,59.0,25.0,N,5.0,16.0,E,182, ,S,CN,E,N,N,N,Y,Y,J,C,N,J,1.0,M,Y,Y,Y,N,Y,Y, ,0.0,Y, ,Y, ,0.0, , , ,Y,Y,Y, ,Y,Y,0.0,0.0,0.0,Y,Y,0.0,Y,Y,Y,Y,0.0,Y,0.0,0.0,Y, ,0.0,0.0,0.0, ,Y,Y, ,Y,Y,C,M, 
2463,5.75000000000006,58.966666667,2464,23480,20620,STAVANGER,NO,58.966667,5.75,58.0,58.0,N,5.0,45.0,E,182,43342,M,CB,E,Y,N,N,N,Y,A,A,L,K,1.0,L,Y, ,Y,N,Y,Y,Y,0.0,Y,N,Y, ,0.0,Y,Y, ,Y,Y,Y,Y,Y,Y,0.0,0.0,0.0,Y,Y,0.0,Y,Y,Y,Y,0.0,Y,0.0,0.0,Y, ,0.0,0.0,0.0,Y,Y,Y,Y,Y,Y,B,L, 
2479,9.66666666700007,59.15,2480,23670,20620,PORSGRUNN,NO,59.15,9.666667,59.0,9.0,N,9.0,40.0,E,193,43360,S,RN,E, ,Y,N,Y,Y,L,E,J,L,1.0,L, , ,Y,N,Y,Y, ,0.0,Y, ,Y, ,0.0, ,Y, , , ,Y,Y,Y,Y,0.0,0.0,0.0,Y, ,0.0,N,Y,Y, ,0.0, ,0.0,0.0,Y,Y,0.0,0.0,0.0, ,Y, , ,Y,Y,A,S,S
2531,10.5000000000001,59.4166666670001,2532,23750,20620,HORTEN,NO,59.416667,10.5,59.0,25.0,N,10.0,30.0,E,193,43386,M,CN,G,N,Y,N,Y,Y,K,K,M, ,1.0,M,Y, ,Y,N,Y,Y,Y,0.0, , ,Y, ,0.0,Y,Y,Y,Y, ,Y,Y,Y,Y,0.0,0.0,0.0,Y,Y,0.0, , ,Y,Y,0.0,Y,0.0,0.0,Y, ,0.0,0.0,0.0, ,Y,Y, ,Y,Y,A,M,M
2534,10.2500000000001,59.7333333330001,2535,23780,20620,DRAMMEN,NO,59.733333,10.25,59.0,44.0,N,10.0,15.0,E,193,43378,M,CB,G,N,N,Y,Y,Y,K,B,M,L,0.0,L,Y, ,Y,N,Y,N,Y,0.0,Y, ,Y,Y,0.0, ,Y, ,Y,Y,Y,Y,Y,Y,0.0,0.0,0.0,Y,Y,0.0,Y, ,Y,Y,0.0,Y,0.0,0.0,Y,Y,0.0,0.0,0.0,Y,Y,Y,Y, , ,B, ,L
2536,10.7500000000001,59.9166666670001,2537,23810,20620,OSLO,NO,59.916667,10.75,59.0,55.0,N,10.0,45.0,E,193,43372,L,CN,G,N,N,N,Y, ,J,E,N,N,1.0,L,Y,Y,Y,Y,Y,Y,Y,0.0,Y, ,Y, ,0.0,Y,Y,Y,Y,Y,Y,Y,Y,Y,0.0,0.0,0.0,Y,Y,0.0,Y,Y,Y,Y,0.0,Y,0.0,0.0,Y,Y,0.0,0.0,0.0,Y,Y,Y,Y,Y,Y,A, ,L
2753,5.03333333300003,60.816666667,2754,23138,20620,MONGSTAD,NO,60.816667,5.033333,60.0,49.0,N,5.0,2.0,E,182, ,M,OR,G,N,N,N,Y,N,A,A,M,L,7.0,M,N,N,Y,N,Y,Y,Y,0.0,Y,N,Y,Y,0.0, ,Y,N,Y,Y,Y, ,Y,N,0.0,0.0,0.0, ,Y,0.0,Y, ,Y, ,0.0, ,0.0,0.0, , ,0.0,0.0,0.0,Y,Y,Y,Y, , ,C,M, 
2755,5.31666666600006,60.4,2756,23160,20620,BERGEN,NO,60.4,5.316667,60.0,24.0,N,5.0,19.0,E,182,43322/1,M,CN,E,N,N,N,Y,Y,A,L,J,M,1.0,L,Y,Y,Y,N,Y,Y,Y,0.0,Y, ,Y,Y,0.0, ,Y,Y,Y,Y,Y,Y,Y,Y,0.0,0.0,0.0,Y,N,0.0,Y,Y,Y,Y,0.0,Y,0.0,0.0,Y,Y,0.0,0.0,0.0,Y,Y,Y,Y,Y,Y,A,M,S
3000,1.85000000000002,50.966666667,3001,35750,35720,CALAIS,FR,50.966667,1.85,50.0,58.0,N,1.0,51.0,E,191, ,S,CB,G,Y,N,N,Y,Y,L,D,J, ,6.0,M,Y, ,Y,N,Y,Y,Y,0.0,Y, ,Y,Y,0.0,Y,Y,Y,Y, ,Y,Y,Y, ,0.0,0.0,0.0,Y,Y,0.0,Y,Y,Y, ,0.0, ,0.0,0.0,Y, ,0.0,0.0,0.0,Y,Y,Y,Y,Y,Y,A,S,S
3409,11.966666667,57.7,3410,24020,23860,GOTEBORG,SE,57.7,11.966667,57.0,42.0,N,11.0,58.0,E,193,44042,L,RT,G,N,N, ,Y,Y,L,A,N,L,0.0,L,Y, ,Y,N,Y,Y,Y,0.0,Y, ,Y,Y,0.0,Y,Y,Y,Y, ,Y,Y,Y,Y,0.0,0.0,0.0,Y,Y,0.0,Y,Y,Y,Y,0.0,Y,0.0,0.0,Y,Y,0.0,0.0,0.0,Y,Y,Y,Y,Y,Y,A,M,L
3629,0.333333333000041,51.466666667,3630,31430,31330,TILBURY,GB,51.466667,0.333333,51.0,28.0,N,0.0,20.0,E,192,37035,S,RT,G, , , , ,Y, ,M,K, ,3.0,M, , , , ,Y,Y,Y,0.0,Y, ,Y, ,0.0, ,Y, ,Y, , , , , ,0.0,0.0,0.0, ,Y,0.0,N,Y, , ,0.0, ,0.0,0.0,Y, ,0.0,0.0,0.0,Y,Y,Y,Y, , ,C, ,S
3630,1.0,2.0,3631,31842,30980,MOERDIJK,NL,51.6896,4.59157,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3631,14.0,2.0,3917,31973,30980,NORTH SEA PORT,NL,51.411607,3.728937,,,,,,,,,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3632,33.0,1.0,1111,11111,30980,GRONINGEN SEAPORTS,NL,53.36943,6.895343,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
